order_id,created_at,customer_id,amount,status
1001,2026-09-01T09:15:00-05:00,C001,45.90,paid
1002,2026-09-01T10:20:00-05:00,C002,18.00,pending
1003,2026-09-01T11:05:00-05:00,C003,-8.50,paid
1004,not-a-date,C004,19.99,paid
1002,2026-09-01T12:30:00-05:00,C002,18.00,paid
1005,2026-09-01T13:10:00-05:00,,27.80,paid
1006,2026-09-01T14:00:00-05:00,C006,abc,pending
1007,2026-09-01T15:45:00-05:00,C007,63.25, PAID
1008,2026-09-01T16:10:00-05:00,C008,12.00,cancelled
1009,2026-09-01T17:00:00-05:00,C009,41.70,
1010,2026-09-01T18:05:00-05:00,C010,0,paid
1011,2026-09-01T19:20:00-05:00,C011,31.10,paid
1012,2026-09-02T08:00:00-05:00,C012,22.40,refunded
